,이름,가격
0,얼큰 소고기국밥,"6,700"
1,얼큰 해물국밥,"6,700"
2,햄버그 나폴리탄 스파게티,"4,900"
3,메가 햄버그 나폴리탄 스파게티,"8,500"
4,[반찬] 얼큰 소고기국밥,"5,000"
5,[반찬] 얼큰 해물국밥,"5,000"
6,핫 치킨마요 볶음면,"4,500"
7,오리지널 치킨마요 볶음면,"4,500"
8,식물성 제육볶음밥,"4,900"
9,송정식 떡갈비,"6,900"
10,[착한도시락]페루 찬차마요 드립백 커피,"1,500"
11,해바라기,"10,000"
12,매화,"10,500"
13,진달래,"7,800"
14,개나리,"8,500"
15,돈까스도련님 고기고기,"6,500"
16,탕수육도련님 고기고기,"6,000"
17,새치 고기고기,"7,000"
18,돈치 고기고기,"6,000"
19,카츠카츠,"4,800"
20,숯불직화구이,"6,600"
21,소불고기,"5,500"
22,메가치킨제육,"7,500"
23,칠리 찹쌀탕수육도련님,"4,400"
24,동백,"6,000"
25,치킨제육,"4,900"
26,돈까스도련님,"4,800"
27,제육볶음,"4,500"
28,돈치스팸,"5,000"
29,제육 김치찌개 정식,"8,600"
30,제육 김치 부대찌개 정식,"9,000"
31,돈치스팸 김치 부대찌개 정식,"9,000"
32,빅치킨마요 김치 부대찌개 정식,"8,000"
33,치킨마요 김치 부대찌개 정식,"7,400"
34,빅치킨마요 김치찌개 정식,"7,500"
35,치킨마요 김치찌개 정식,"6,900"
36,빅새치마요,"4,600"
37,새치마요,"4,000"
38,메가스팸마요,"5,800"
39,스팸마요,"3,900"
40,메가치킨마요,"6,000"
41,왕치킨마요,"5,000"
42,빅치킨마요,"4,300"
43,치킨마요,"3,700"
44,참치마요,"3,500"
45,돈치마요,"4,000"
46,돈까스 카레,"4,700"
47,잡채볶음밥(중화풍 매운맛),"5,500"
48,잡채볶음밥(오리지널),"5,300"
49,스팸 김치볶음밥,"4,700"
50,김치볶음밥,"3,900"
51,스팸 철판볶음밥,"4,700"
52,소불고기 철판볶음밥,"4,900"
53,나시고랭,"6,200"
54,묵은지 김치찌개,"4,900"
55,김치 부대찌개,"6,000"
56,핫 치즈 닭갈비덮밥,"5,900"
57,오리지널 치즈 닭갈비덮밥,"5,900"
58,숯불직화구이 덮밥,"6,000"
59,마파두부 덮밥,"5,000"
60,왕카레돈까스덮밥,"6,000"
61,새우돈까스 덮밥,"4,200"
62,돈까스 덮밥,"4,100"
63,아보카도 소불고기 명란 비빔밥,"6,500"
64,소불고기 감초고추장 비빔밥,"5,400"
65,시골제육 두부강된장 비빔밥,"5,200"
66,참치야채 감초고추장 비빔밥,"3,500"
67,튼튼도시락,"5,000"
68,반찬 묵은지김치찌개,"4,400"
69,반찬 카레,"2,900"
70,반찬 순살 고등어 간장구이,"3,900"
71,반찬 김치 부대찌개,"4,900"
72,반찬 치킨,"3,800"
73,반찬 고기고기,"3,600"
74,반찬 돈까스도련님,"4,100"
75,반찬 제육볶음,"3,500"
76,반찬 토네이도 소세지,"3,200"
77,반찬 돈까스,"2,900"
78,치즈버터 해시 포테이토 스틱,"2,200"
79,허니버터 해시 포테이토 스틱,"2,200"
80,해시 포테이토 스틱,"2,000"
81,뉴 감자고로케,"2,700"
82,미니 찹쌀핫도그,"2,800"
83,미니 찹쌀탕수육,"2,200"
84,케이준후라이,"1,900"
85,통현미 닭강정(소),"3,500"
86,통현미 닭강정(중),"8,500"
87,후라이드 순살(중),"7,500"
88,후라이드 순살(소)_양념치킨소스,"4,000"
89,후라이드 순살(소)_케이준소스,"4,000"
90,3종 미니반찬B,"1,300"
91,3종 미니반찬A,"1,300"
92,오징어젓갈,600
93,한솥 두부강된장소스,"1,800"
94,한솥 감초볶음고추장소스,500
95,볶음김치,500
96,김치,400
97,무말랭이 무침,500
98,한솥밥,"1,000"
99,현미밥,"1,700"
100,리얼꿀 미니호떡,"2,200"
